platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines,tuitiontype
https://www.mastersportal.com/studies/2602/,Maastricht University,Economics ,M.Sc.,On Campus,1 year,"2,143","Are your career goals focused on policy related to both public and private economic sectors? If so, then the master’s programme in Economics from Maastricht University might be for you. Economic knowledge is vital to making policy decisions at both the individual and organizational levels of society. ",121st ,English,On Campus,Maastricht,Netherlands,.,     6.5      ,     500      ,     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNjAyIiwiZCI6IkVjb25vbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJlMDg0MWZhNy04MGMzLTRmNGEtYmU4Zi1iNTlhMmY3MDlhZTkiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTc5NTUzIiwiZCI6Imh0dHBzOi8vd3d3Lm1hYXN0cmljaHR1bml2ZXJzaXR5Lm5sL2VkdWNhdGlvbi9tYXN0ZXIvbWFzdGVyLWVjb25vbWljcz91dG1fc291cmNlPVN0dWR5cG9ydGFscyZ1dG1fbWVkaXVtPWNwYyZ1dG1fY2FtcGFpZ249YXVnZGVjMjAxOSIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,01/06/2021,01/09/2021,"Economics, Business Administration, International Business","[""year""]"
https://www.mastersportal.com/studies/2594/,Maastricht University,Financial Economics ,M.Sc.,On Campus,1 year,"2,143","Are you intrigued by the role of central banks, for example the part the ECB played in saving the financial system? Or would you like to come up with new business models that can be introduced in the financial sector, since the old ones no longer seem to work? If so, the master's in Financial Economics from Maastricht University can be your passport to the world of financial markets",121st ,English,On Campus,Maastricht,Netherlands,.,     6.5      ,     500      ,     4  (analytical)      ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-financial-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTk0IiwiZCI6IkZpbmFuY2lhbCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTA4NDFmYTctODBjMy00ZjRhLWJlOGYtYjU5YTJmNzA5YWU5IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk3OTUyMyIsImQiOiJodHRwczovL3d3dy5tYWFzdHJpY2h0dW5pdmVyc2l0eS5ubC9lZHVjYXRpb24vbWFzdGVyL21hc3Rlci1maW5hbmNpYWwtZWNvbm9taWNzP3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09Y3BjJnV0bV9jYW1wYWlnbj1hdWdkZWMyMDE5IiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,01/06/2021,01/09/2021,"Economics, Finance, Actuarial Science","[""year""]"
https://www.mastersportal.com/studies/58050/,University of Central Lancashire (UCLan),"Master's Foundation Programme - Business, Economics, Finance and Management ",Pre-Master,On Campus,9 months,.,"The Master's Foundation Programme - Business, Economics, Finance and Management from ONCAMPUS UK North is available as a two or three-term programme, with guaranteed progression to a wide range of Master’s degrees at UCLan and the opportunity to apply to other top UK universities through the UCAS process. ",801st ,English,"On Campus, Blended",Preston,.,.,     5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fstudy.oncampus.global%2Fuk-north-mfp%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI1ODA1MCIsImQiOiJNYXN0ZXIncyBGb3VuZGF0aW9uIFByb2dyYW1tZSAtIEJ1c2luZXNzLCBFY29ub21pY3MsIEZpbmFuY2UgYW5kIE1hbmFnZW1lbnQiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTA4NDFmYTctODBjMy00ZjRhLWJlOGYtYjU5YTJmNzA5YWU5IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk2OTA0OSIsImQiOiJodHRwczovL3N0dWR5Lm9uY2FtcHVzLmdsb2JhbC91ay1ub3J0aC1tZnAvIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,.,21/09/2021,"Economics, Business Administration, Management, Organisation & Leadership",.
https://www.mastersportal.com/studies/16335/,Tor Vergata University of Rome,Finance and Banking ,M.Sc.,On Campus,2 years,156,The Master of Science in Finance and Banking offered at Tor Vergata University of Rome is a two-year program of quantitative methods for finance designed for highly talented students who wish to study mathematical and statistical techniques applied to financial markets. ,401st ,English,120 ECTS,Roma,Italy,.,.,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Feconomia.uniroma2.it%2Fmaster-science%2Ffinanceandbanking&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjMzNSIsImQiOiJGaW5hbmNlIGFuZCBCYW5raW5nIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImUwODQxZmE3LTgwYzMtNGY0YS1iZThmLWI1OWEyZjcwOWFlOSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5NTk4ODgiLCJkIjoiaHR0cHM6Ly9lY29ub21pYS51bmlyb21hMi5pdC9tYXN0ZXItc2NpZW5jZS9maW5hbmNlYW5kYmFua2luZyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,16/08/2021,01/09/2021,"Economics, Finance","[""year""]"
https://www.mastersportal.com/studies/2596/,Maastricht University,Fiscal Economics ,M.Sc.,On Campus,1 year,"2,143",Are you a creative and analytical thinker? Do you like coming up with smart solutions for tax problems? And would you love to learn about all the ins and outs of the tax system? Then Fiscal Economics programme from Maastricht University might be just the thing for you.,121st ,"Partially taught in English, Partially taught in Dutch",On Campus,Maastricht,Netherlands,.,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.maastrichtuniversity.nl%2Feducation%2Fmaster%2Fmaster-fiscal-economics%3Futm_source%3DStudyportals%26utm_medium%3Dcpc%26utm_campaign%3Daugdec2019&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNTk2IiwiZCI6IkZpc2NhbCBFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTA4NDFmYTctODBjMy00ZjRhLWJlOGYtYjU5YTJmNzA5YWU5IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTk3OTU0MSIsImQiOiJodHRwczovL3d3dy5tYWFzdHJpY2h0dW5pdmVyc2l0eS5ubC9lZHVjYXRpb24vbWFzdGVyL21hc3Rlci1maXNjYWwtZWNvbm9taWNzP3V0bV9zb3VyY2U9U3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09Y3BjJnV0bV9jYW1wYWlnbj1hdWdkZWMyMDE5IiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,01/06/2021,01/09/2021,"Economics, Finance","[""year""]"
https://www.mastersportal.com/studies/2469/,University of Helsinki,Economics ,Master,On Campus,2 years,Free,"The Economics programme offered by the University of Helsinki prepares you for a career as an economist in business, financial markets and the public sector.",74th ,"English, Finnish, Swedish",120 ECTS,Helsinki,Finland,     92      ,     6.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.helsinki.fi%2Fen%2Fadmissions%2Fdegree-programmes%2Feconomics-masters-programme&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNDY5IiwiZCI6IkVjb25vbWljcyIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJlMDg0MWZhNy04MGMzLTRmNGEtYmU4Zi1iNTlhMmY3MDlhZTkiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIxOTk2NTU1IiwiZCI6Imh0dHBzOi8vd3d3LmhlbHNpbmtpLmZpL2VuL2FkbWlzc2lvbnMvZGVncmVlLXByb2dyYW1tZXMvZWNvbm9taWNzLW1hc3RlcnMtcHJvZ3JhbW1lIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,15/01/2022,06/09/2022,"Economics, Finance, Natural Sciences",.
https://www.mastersportal.com/studies/139675/,SDA Bocconi School of Management,Public Administration ,Master,On Campus,1 year,"28,000","The Master of Public Administration (MPA) offered by SDA Bocconi School of Management is a one-year full-time program taught in English to students from around the world. The MPA develops your specialized knowledge and personal skills to work in the public sector and associated institutions, both locally and globally. ",.,English,70 ECTS,Milano,Italy,.,.,   Required   ,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.sdabocconi.it%2Fen%2Fspecialized-master-full-time-executive%2Fmpa%3Fsembox_source%3DStudyportal%26sembox_p%3DMPA%26sembox_content%3DListing%26camp%3DC-00002614%26utm_source%3DStudyportal%26utm_campaign%3DListing_MPA&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxMzk2NzUiLCJkIjoiUHVibGljIEFkbWluaXN0cmF0aW9uIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6ImUwODQxZmE3LTgwYzMtNGY0YS1iZThmLWI1OWEyZjcwOWFlOSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5OTEzMjciLCJkIjoiaHR0cHM6Ly93d3cuc2RhYm9jY29uaS5pdC9lbi9zcGVjaWFsaXplZC1tYXN0ZXItZnVsbC10aW1lLWV4ZWN1dGl2ZS9tcGE%2Fc2VtYm94X3NvdXJjZT1TdHVkeXBvcnRhbCZzZW1ib3hfcD1NUEEmc2VtYm94X2NvbnRlbnQ9TGlzdGluZyZjYW1wPUMtMDAwMDI2MTQmdXRtX3NvdXJjZT1TdHVkeXBvcnRhbCZ1dG1fY2FtcGFpZ249TGlzdGluZ19NUEEiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,04/09/2021,01/10/2021,"Economics, Public Administration, Public Policy","[""year""]"
https://www.mastersportal.com/studies/16333/,Tor Vergata University of Rome,Economics ,M.Sc.,On Campus,2 years,.,"The Master of Science (LM-56) in Economics at Tor Vergata University of Rome is a two-year full time program of advanced quantitative methods for economics, entirely taught in English and designed for students with high drive and potential, who wish to acquire the tools and knowledge to undertake advanced economic research.",401st ,English,120 ECTS,Roma,Italy,.,.,   Required   ,   Required   ,https://sl.prtl.co/track/click/?target=https%3A%2F%2Feconomia.uniroma2.it%2Fmaster-science%2Feconomics&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNjMzMyIsImQiOiJFY29ub21pY3MiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiZTA4NDFmYTctODBjMy00ZjRhLWJlOGYtYjU5YTJmNzA5YWU5IiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMTc3NTMyNSIsImQiOiJodHRwczovL2Vjb25vbWlhLnVuaXJvbWEyLml0L21hc3Rlci1zY2llbmNlL2Vjb25vbWljcyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,16/08/2021,14/09/2021,"Economics, Mathematics, Statistics",.
https://www.mastersportal.com/studies/220836/,London School of Business and Finance,Finance and Investment ,Master,Online,1½ years,"6,018",Master 21st century finance and investment concepts with a global community of students and professionals with this online Master in Finance and Investments programme from London School of Business and Finance. ,.,English,Online,London,.,.,     5.5      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgus.webosaurus.co.uk%2Finbound%2Fclick%3FctID%3DMzEy&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMjA4MzYiLCJkIjoiRmluYW5jZSBhbmQgSW52ZXN0bWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJlMDg0MWZhNy04MGMzLTRmNGEtYmU4Zi1iNTlhMmY3MDlhZTkiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMDY4MzU4IiwiZCI6Imh0dHBzOi8vZ3VzLndlYm9zYXVydXMuY28udWsvaW5ib3VuZC9jbGljaz9jdElEPU16RXkiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,.,01/04/2021,"Economics, Finance, International Business","[""year""]"
https://www.mastersportal.com/studies/236104/,Berlin School of Business and Innovation,Finance and Investment ,M.Sc.,On Campus,1½ years,"5,333","Get ahead of the competition with the MSc Finance and Investment at Berlin School of Business and Innovation, delivered in partnership with University for the Creative Arts (UCA), a Gold Standard institution under the Teaching Excellence and Student Outcomes Framework (TEF). ",.,English,On Campus,Berlin,Germany,.,     6      ,.,.,https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.studyatbsbi.com%2Fprogrammes%2Fpostgraduate-programmes%2Fmsc-finance-and-investment%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyMzYxMDQiLCJkIjoiRmluYW5jZSBhbmQgSW52ZXN0bWVudCIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJlMDg0MWZhNy04MGMzLTRmNGEtYmU4Zi1iNTlhMmY3MDlhZTkiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMDg3NjY1IiwiZCI6Imh0dHBzOi8vd3d3LnN0dWR5YXRic2JpLmNvbS9wcm9ncmFtbWVzL3Bvc3RncmFkdWF0ZS1wcm9ncmFtbWVzL21zYy1maW5hbmNlLWFuZC1pbnZlc3RtZW50LyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=5f3933a2-591e-41dd-b696-f1b877641615&sid=15588838-a2f2-49e5-a56e-d1ce8b55adc6,.,01/02/2021,"Economics, Business Administration, Finance","[""year""]"
