index," favorite"," quant"
15,"0","1"
10,"0","1"
25,"1","1"
50,"0","1"
106,"0","1"
150,"0","1"
140,"0","1"
31,"0","1"
100,"0","1"
101,"0","1"
163,"1","1"
188,"0","1"
189,"0","1"
190,"0","1"
"","",""
184,"0","1"
65,"1","1"
146,"0","1"
4,"0","1"
37,"1","1"
22,"0","1"
