platformLink,uni,title,degType,campus,duration,tuition,about,uniRank,languages,ects,city,country,toefl,ielts,gmat,gre,origLink,applyBy,startDate,disciplines
https://www.mastersportal.com/studies/227734/,Corvinus University of Budapest,Economic Analysis - Health Economics,M.Sc.,On Campus,2 years,"2,502","Besides providing students with a strong methodological basis, the Economic Analysis - Health Economics programme of Corvinus University of Budapest focuses on comparative, regional, and sectoral issues.",801st ,English,120 ECTS,Budapest,Hungary,.,     5.5      ,.,.,.,15/03/2021,09/09/2021,"Economics, Health Management"
https://www.mastersportal.com/studies/68746/,Stellenbosch University,Economics,Master,On Campus,1 year,"1,565","Stellenbosch University, Economics as a science, originally referred to as Political Economics, was founded during the second half of the eighteenth century. However, it was established as an academic subject at most Western universities only in the last quarter of the nineteenth century.",251st ,English,180 alternative credits,Stellenbosch,South Africa,     79      ,     6.5      ,.,.,.,30/09/2021,20/04/2022,Economics
https://www.mastersportal.com/studies/285715/,University of Groningen,Central-East European Economies,Master,On Campus,2 years,"2,143","The Central-East European Economies programme at the University of Groningen combines international business and international economics topics, with a special focus on issues of economic transformation and integration.",69th ,English,120 ECTS,Groningen,Netherlands,     90      ,     6.5      ,.,.,.,01/05/2021,01/09/2021,"Economics, European Studies"
https://www.mastersportal.com/studies/282043/,Erasmus University Rotterdam,Cultural Economics and Entrepreneurship,Master,On Campus,1 year,"2,143","Uncover the business of culture: get the art facts. How to tell the worth of an oeuvre? Who decides? How do cultural entrepreneurs operate in the culture market? It's all about cultural economics, offered at the Cultural Economics and Entrepreneurship programme at the Erasmus University Rotterdam. ",72nd ,English,60 ECTS,Rotterdam,Netherlands,     100      ,     7      ,.,.,.,15/05/2021,01/09/2021,"Economics, Area & Cultural Studies, Entrepreneurship"
https://www.mastersportal.com/studies/144982/,Claremont Graduate University (CGU),Economics,M.A.,On Campus,1 year,"1,629","Economics from Claremont Graduate University (CGU) provides you with a solid grounding in economics, exposure to cutting-edge transdisciplinary research, and commitment to practice, problem solving, and policy shaping.",.,English,36 alternative credits,Claremont,.,     95      ,     7      ,.,.,.,01/04/2021,17/05/2021,"Economics, Finance, Statistics"
https://www.mastersportal.com/studies/63712/,Purdue University,Economics,M.Sc.,Online,"1 year, 8 months",884,"Purdue University offers an innovative online Master’s degree in Economics designed for individuals with strong analytical backgrounds, such as individuals with undergraduate majors in the STEM (Science, Technology, Engineering and Mathematics) disciplines.",79th ,English,30 alternative credits,West Lafayette,.,     80      ,     6.5      ,.,.,.,15/07/2021,23/08/2021,"Economics, Econometrics"
https://www.mastersportal.com/studies/75906/,University of Bucharest,Behavioral Economics,Master,On Campus,2 years,682,The Behavioral Economics programme of University of Bucharest aims to help prepare specialists in the areas of decision processes and strategic interaction.,801st ,English,120 ECTS,Bucharest,Romania,.,.,.,.,.,22/07/2021,01/10/2021,"Economics, Organisational Behaviour"
https://www.mastersportal.com/studies/127407/,The City University of New York,Economics,M.A.,On Campus,1 year,703,"The Master of Arts in Economics at John Jay from The City University of New York is a new 36-credit graduate program that provides students with a comprehensive and rigorous education in applied, pluralist economics.",651st ,English,30 alternative credits,New York City,.,     80      ,     7      ,.,.,.,15/06/2021,27/08/2021,Economics
https://www.mastersportal.com/studies/276621/,Vistula University,Finances and Accounting,Master,On Campus,2 years,"2,500","The Finances and Accounting Master’s programme from Vistula University is ideal for all those who have already obtained a Bachelor’s degree in economics, and who would like to develop further, and become an expert on finances and accounting. ",.,"English, Polish","On Campus, Online",Warsaw,Poland,     87      ,     5.5      ,.,.,.,31/08/2021,04/10/2021,"Economics, Finance, Accounting"
https://www.mastersportal.com/studies/118609/,Wayne State University,Economics,M.A.,On Campus,1 year,"1,208","The master's program in Economics from Wayne State University, begun in 1934, seeks to prepare students for careers in industry, government, and junior college teaching.",351st ,English,32 alternative credits,Detroit,.,     79      ,     6.5      ,.,.,.,01/05/2021,02/09/2021,Economics
