Index;country;city;uni;title;uniRank.1;tuition;tuitiontype; favorite; quant;disciplines;startDate;applyBy;DaysLeft;degType;campus;duration;toefl;ielts;gmat;gre;languages;ects;platformLink;about;origLink
717;Greece;Athens;ICon College;Real Estate Investment and Finance;;;;;;Finance, Real Estate & Property Management;01/05/2021;;;M.Sc.;Online;Unknown;;;.;.;English;.;https://www.mastersportal.com/studies/78536/;The postgraduate programme in Real Estate Investment and Finance at the ICon College is addressed to real estate professionals and graduates who are interested to pursue career in the financial and investment sector. ;.
718;.;Fairfield;Fairfield University;Accounting;;863,00 €;credit ;;;Finance, Accounting, Taxation;01/05/2022;15/01/2022;358;M.Sc.;On Campus;1 year;84;7,5;   Required   ;   Required   ;English;30 alternative credits;https://www.mastersportal.com/studies/140804/;"On this Accounting program from Fairfield University, students can choose between two tracks: assurance or taxation. Coursework covers accounting in governments, hospitals, and universities; ethics, financial statement analysis, and entity taxation.";.
719;.;Brooklyn;St. Francis College;Accounting;;534,00 €;credit ;;;Finance, Accounting, Taxation;09/09/2021;;;M.Sc.;On Campus;2 years;;6;   Required   ;   Required   ;English;34 alternative credits;https://www.mastersportal.com/studies/244406/;With flexible day and night classes, the Accounting program of St. Francis College can quickly get professionals, young and old, on track for a new successful career in as few as four semesters. The ten-course, 34-credit program fulfills all requirements to sit for the CPA exam.;.
720;.;Troy;Walsh College;Finance;;8.670,00 €;year ;;;Finance;16/09/2021;;;M.Sc.;On Campus;1 year;79;6,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/246203/;Locally and globally, the language of business is constantly evolving. The Master of Science in Finance at the Walsh College prepares you to combine a deep understanding of financial theories with cutting-edge, real-world experience to take your career to the next level. You’ll gain hands-on experience from academic faculty who continue to be thought leaders in their fields. ;.
1878;.;San Francisco;Golden Gate University;International Taxation;;1027;credit ;;;Finance, International Business, Taxation;06/09/2021;01/03/2021;38;Postgraduate Certificate;On Campus;Unknown;79;6,5;.;.;English;On Campus, Blended, Online;https://www.mastersportal.com/studies/56782/;This International Taxation certificate program at Golden Gate University provides a broad-based education in the international taxation field with an emphasis on corporate tax issues.;.
1879;.;Northampton;University of Northampton International College;Accounting and Finance;;16.025,00 €;year;;;Finance, Accounting;27/01/2021;;;Pre-Master;On Campus;½ year;60;6;.;.;English;On Campus;https://www.mastersportal.com/studies/242293/;Do you want to study a masters degree but don’t have the required qualifications? Are you looking to fine tune skills already gained during your undergraduate degree or through your employment? If the answer is yes to either of these questions then the Accounting and Finance Pre-Master offered by University of Northampton International College is for you.;.
1880;.;Los Angeles;Pacific States University;Finance;;312;module ;;;Finance;01/04/2021;01/02/2021;10;M.B.A.;On Campus;1 year;;4,5;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/242288/;The Master of Business Administration (M.B.A.) Finance program at Pacific States University builds upon a strong foundation established in the baccalaureate program through seminars, case studies, and applied research on advanced topics. ;.
724;Spain;Madrid;Menéndez Pelayo International University;Economics and Finance;;110,00 €;credit;;;Economics, Finance;30/09/2021;;;Master;On Campus;2 years;;;.;.;English;120 ECTS;https://www.mastersportal.com/studies/249293/;The Master in Economics and Finance from the Menéndez Pelayo International University is a two-year program which combines rigorous training in advanced techniques of economic analysis with a special attention to applied and policy issues.;.
1882;.;Edinburgh;Edinburgh Napier University;MBA (Finance);601;1.298,00 €;module;;;Finance, Master in Business Administration (MBA);31/05/2021;;;M.B.A.;Online;1 year, 9 months;80;6;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/276112/;A Master of Business Administration MBA (Finance) at the Edinburgh Napier University is one of the most prestigious postgraduate qualifications, valued by leading employers Internationally.;.
1883;Switzerland;Zürich;University of Zurich;Business Administration;56;1336;year;;;Economics, Business Administration, Finance;20/09/2021;28/02/2021;37;M.A.;On Campus;2 years;100;7;.;.;English;90 ECTS;https://www.mastersportal.com/studies/83500/;The Business Administration Master's degree programs from University of Zurich provide students with an advanced academic education and allow them to shape their own profiles.;.
1884;.;Belfast;Queen's University Belfast;Graduate Diploma in Finance - Finance;200;;;;;Economics, Finance, Accounting;14/09/2021;;;Pre-Master;Blended;9 months;;5;.;.;English;Blended;https://www.mastersportal.com/studies/278682/;INTO makes sure you can get into the Master’s of your dreams by offering the Graduate Diploma in Finance - Finance from INTO Queen's University Belfast. ;.
1885;Canada;Toronto;Wilfrid Laurier University;Finance (Executive);1180;1.933,00 €;year ;;;Finance;10/09/2021;15/08/2021;205;M.A.;On Campus;1½ years;83;6,5;     620      ;.;English;10 alternative credits;https://www.mastersportal.com/studies/123663/;The Master of Finance (Executive) (MFin) program at Wilfrid Laurier University is designed to equip you with extensive knowledge of financial systems and critical quantitative research skills. ;.
725;Spain;Barcelona;EADA Business School;Accounting and Financial Management;;21.800,00 €;full;;;Finance, Management, Organisation & Leadership, Accounting;01/10/2021;;;M.Sc.;On Campus;10 months;100;7;.;.;English;On Campus;https://www.mastersportal.com/studies/232378/;The International Master in Accounting and Financial Management of EADA Business School has been developed together with the big 4 and is fully accredited by the Association of Chartered Certified Accountants (ACCA) with exemptions from 7 exams for graduates.;.
731;.;Boston;Suffolk University;Accounting - Finance;;;;;;Finance, Accounting;02/09/2021;;;Master;On Campus;3 years;80;6,5;   Required   ;   Required   ;English;56 alternative credits;https://www.mastersportal.com/studies/295457/;This Accounting - Finance dual-degree option from Suffolk University combines finance and accounting in an expedited program geared to get you ready for the CPA and CFA exams.;.
1888;.;Stirling;University of Stirling;Pre-Master's - International Accounting and Finance;301;;;;;Business Administration, Finance, Accounting;29/03/2021;;;Pre-Master;Blended;½ year;;6;.;.;English;Blended;https://www.mastersportal.com/studies/281088/;The Pre-Master's - International Accounting and Finance programme at INTO University of Stirling is specifically created for progressing to a certain type of Master’s upon graduation. ;.
736;Poland;Kraków;Cracow University of Economics;Corporate Finance and Accounting;;1.090,00 €;year;;;Finance, Accounting;01/10/2021;30/05/2021;128;Master;On Campus;2 years;87;6;.;.;English;131 ECTS;https://www.mastersportal.com/studies/19308/;The Master in Corporate Finance and Accounting from Cracow University of Economics aimes at deepening knowledge of finance and accounting in the area of monetary and financial policy, managerial accounting, local and household finance.;.
741;.;Wingate;Wingate University;Accounting;;473,00 €;credit ;;;Economics, Finance, Accounting;17/08/2021;;;Master;Blended;1 year;;;   Required   ;.;English;30 alternative credits;https://www.mastersportal.com/studies/212264/;The Accounting program of Wingate University is offered as both a two-year and a one-year program. A new student cohort commences each Fall (August) semester and Spring (January) semester.;.
1891;Nicaragua;San Marcos;Keiser University;Management;;20681;year ;;;Finance, Management, Organisation & Leadership, Master in Business Administration (MBA);31/08/2021;;;M.B.A.;Online;Unknown;;;.;.;English;Online;https://www.mastersportal.com/studies/251382/;Keiser University’s Master of Business Administration offers an intensive graduate program in Management that educates students in theories and practices of the modern business world.  The MBA program fosters independent learning and enables students to contribute intellectually to the business profession. ;.
1892;Kazakhstan;Nur-Sultan;Nazarbayev University;Economics;;;;;;Economics, Finance, Marketing;01/08/2021;30/04/2021;98;M.A.;On Campus;2 years;;6,5;.;.;English;On Campus;https://www.mastersportal.com/studies/277115/;The Master of Arts in Economics (MAE) degree program at Nazarbayev University will directly serve the exigent need of preparing highly qualified Economists. Graduate education in Economics involves the development of analytical, methodological, and applied skills. ;.
