Index;country;city;uni;title;uniRank.1;tuition;tuitiontype; favorite; quant;disciplines;startDate;applyBy;DaysLeft;degType;campus;duration;toefl;ielts;gmat;gre;languages;ects;platformLink;about;origLink
773;.;Oxford;University of Oxford;Financial Economics;1;50.783,00 €;year;;;Economics, Finance;10/10/2021;13/03/2021;50;M.Sc.;On Campus;9 months;110;7,5;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/78837/;The MSc in Financial Economics from University of Oxford is a full-time, nine-month programme that provides outstanding training in the tools of financial economics sought by financial institutions, companies and public organisations. The course combines a rigorous academic core with tailored practical applications, designed in consultation with leading financial recruiters.;.
2;.;London;King's College London;International Financial and Commercial Law Online ;31;11002;year;;;Finance, Business Law, Commerce;28/09/2021;25/08/2021;215;LL.M.;Online;2 years;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/279342/;Develop your legal expertise and propel your career forward with the International Financial & Commercial Law course from King’s College London. Study the flexible way - online from anywhere in the world.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.kcl.ac.uk%2Fonlinecourses%2Flaw%3Fak_load%3Difcl%26utm_source%3Dstudy-portals%26utm_medium%3Dad%26utm_campaign%3DLLM-IFCL&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyNzkzNDIiLCJkIjoiSW50ZXJuYXRpb25hbCBGaW5hbmNpYWwgYW5kIENvbW1lcmNpYWwgTGF3IE9ubGluZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiJhNTY1MzkxNi0wZmI5LTRjZWUtYjcxOS0wMjUwZjczYWUyMWQiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTM0NjM4IiwiZCI6Imh0dHBzOi8vd3d3LmtjbC5hYy51ay9vbmxpbmVjb3Vyc2VzL2xhdz9ha19sb2FkPWlmY2wmdXRtX3NvdXJjZT1zdHVkeS1wb3J0YWxzJnV0bV9tZWRpdW09YWQmdXRtX2NhbXBhaWduPUxMTS1JRkNMIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8
877;.;Oxford;University of Oxford;Law and Finance;1;43.944,00 €;year;;;European Law, Finance;10/10/2021;24/01/2021;2;M.Sc.;On Campus;10 months;110;7,5;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/79452/;The MSc from the University of Oxford in Law and Finance is taught jointly by the Law Faculty and the Saïd Business School. It will provide you with an advanced interdisciplinary understanding of economic and financial concepts and their application to legal topics.;.
1366;.;Cambridge;Massachusetts Institute of Technology (MIT);Finance;1;21.962,00 €;year ;;;Finance;02/09/2022;02/01/2022;345;Master;On Campus;1 year;90;;.;.;English;30 alternative credits;https://www.mastersportal.com/studies/62607/;Are you a high-achiever looking for a rewarding career in finance? Massachusetts Institute of Technology (MIT)’s Master of Finance program features a rigorous 12- or 18-month STEM curriculum, emphasizing a foundation in how markets work and engineered around the most advanced financial theories, quantitative models and industry practices.;.
5;.;London;London School of Planning and Management;Level 7 Diploma in Accounting and Finance ;;1466;full;;;Finance, Accounting;;;;Postgraduate Diploma;Online;½ year;;;.;.;English;120 alternative credits;https://www.mastersportal.com/studies/159618/;The Level 7 Diploma in Accounting and Finance offered by the London School of Planning and Management is designed for learners with relevant experience, and/or qualifications the knowledge and skills they need work in the fields of accounting and finance.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.lspm.org.uk%2Fcourse-details.aspx%3FCourseTitle%3DLevel%2B7%2BDiploma%2Bin%2BAccounting%2Band%2BFinance%26subject%3DAccounting%2Band%2BFinance%26Award%3DDiploma&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIxNTk2MTgiLCJkIjoiTGV2ZWwgNyBEaXBsb21hIGluIEFjY291bnRpbmcgYW5kIEZpbmFuY2UiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiYTU2NTM5MTYtMGZiOS00Y2VlLWI3MTktMDI1MGY3M2FlMjFkIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjAwMjE2MSIsImQiOiJodHRwczovL3d3dy5sc3BtLm9yZy51ay9jb3Vyc2UtZGV0YWlscy5hc3B4P0NvdXJzZVRpdGxlPUxldmVsKzcrRGlwbG9tYStpbitBY2NvdW50aW5nK2FuZCtGaW5hbmNlJnN1YmplY3Q9QWNjb3VudGluZythbmQrRmluYW5jZSZBd2FyZD1EaXBsb21hIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InNwIn19XX0%3D&taps=null&duid=5ad01a7c-3f50-47fd-b651-ef4cb359fc53&sid=63fd80ec-8353-48e0-92e1-85a0f2b609c8
1413;.;Oxford;University of Oxford;Taxation;1;15.822,00 €;year;;;Finance, Taxation;10/10/2021;03/03/2021;40;M.Sc.;On Campus;2 years;110;7,5;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/208737/;The MSc in Taxation from the University of Oxford is offered by the Law Faculty and is taught in association with the Centre for Business Taxation based at the Saïd Business School. It is aimed at both lawyers and non-lawyers, and combines intensive engagement with the detail of relevant case law and statute with broader theoretical and inter-disciplinary perspectives.;.
1456;.;Oxford;University of Oxford;Financial Economics;1;50.783,00 €;year;;;Economics, Finance;10/10/2021;13/03/2021;50;M.Sc.;On Campus;9 months;110;7,5;   Required   ;.;English;180 alternative credits;https://www.mastersportal.com/studies/626/;The Oxford MSc Financial Economics from the University of Oxford is a full-time, nine-month programme that provides outstanding training in the tools of financial economics sought by financial institutions, companies and public organisations. The course combines a rigorous academic core with tailored practical applications, designed in consultation with leading financial recruiters.;.
1582;.;Cambridge;Harvard University;Finance;1;28.762,00 €;year ;;;Finance, Financial Mathematics;27/01/2022;15/04/2021;83;Master;Blended;1 year;100;7;.;.;English;48 alternative credits;https://www.mastersportal.com/studies/105515/;Choose Harvard University to gain a solid foundation in the principles of Finance, becoming well informed of topics critical to financial planning, implementation, measurement, and investment.;.
2055;.;Oxford;University of Oxford;Law and Finance;1;43.944,00 €;year;;;Finance, Legal Studies;01/09/2021;24/01/2021;2;M.Sc.;On Campus;10 months;110;7,5;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/60984/;The MSc in Law and Finance from the University of Oxford full-time, ten-month programme offers students with a prior background in law the chance to develop an advanced interdisciplinary understanding of relevant economic and financial contexts.;.
50;.;Cambridge;University of Cambridge;Finance ;3;54.168,00 €;year;;;Economics, Finance, Actuarial Science;01/09/2021;31/05/2021;129;Master;On Campus;1 year;110;7,5;.;.;English;On Campus;https://www.mastersportal.com/studies/73324/;The Finance programme from University of Cambridge has been designed in consultation with the banking and finance industry and provides a first-class training for ambitious and successful finance professionals wishing to strengthen their existing knowledge of finance.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.jbs.cam.ac.uk%2Fprogrammes%2Fmaster-of-finance-mfin%2F%3Futm_source%3Dmfin_studyportals%26utm_medium%3Dlisting%26utm_campaign%3Dwinter&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiI3MzMyNCIsImQiOiJGaW5hbmNlIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjZkOGY1ZmRjLWZmNzgtNDE0YS1iYTcyLTYyOWUxYmE4ODc5MiIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE4NDQ4MDEiLCJkIjoiaHR0cHM6Ly93d3cuamJzLmNhbS5hYy51ay9wcm9ncmFtbWVzL21hc3Rlci1vZi1maW5hbmNlLW1maW4vP3V0bV9zb3VyY2U9bWZpbl9zdHVkeXBvcnRhbHMmdXRtX21lZGl1bT1saXN0aW5nJnV0bV9jYW1wYWlnbj13aW50ZXIiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0IjoicCJ9fV19&taps=null&duid=0f799ed9-7b08-4920-8ebb-f7d58827d64b&sid=03b3b445-4e6f-4c4b-9ffb-40c3b2cc405e
815;.;Princeton;Princeton University;Finance;6;42.808,00 €;year ;;;Finance, Actuarial Science;02/09/2022;31/12/2021;343;Master;On Campus;2 years;;8;.;   Required   ;English;60 alternative credits;https://www.mastersportal.com/studies/64069/;The interdisciplinary Bendheim Center for Finance offers a Master in Finance degree at Princeton University. ;.
1279;.;Princeton;Princeton University;Operations Research and Financial Engineering;6;42.808,00 €;year ;;;Finance, Computer Sciences, Actuarial Science;02/09/2022;31/12/2021;343;Master;On Campus;2 years;;8;.;   Required   ;English;60 alternative credits;https://www.mastersportal.com/studies/64158/;The Operations Research and Financial Engineering program at Princeton University places a strong emphasis on mathematical and computational tools. Students in ORFE develop a unique set of skills that build upon a solid foundation in probability, statistics, and optimization.;.
13;.;Melbourne;Swinburne Online;Financial Planning ;;8.295,00 €;year ;;;Finance, Financial Mathematics, Actuarial Science;08/03/2021;26/02/2021;35;Postgraduate Certificate;Online;½ year;79;6,5;.;.;English;4 alternative credits;https://www.mastersportal.com/studies/289212/;"You’ve got industry experience; here is your solution to the education requirements now required of financial planners by the Financial Adviser Standards and Ethics Authority (FASEA). The Graduate Certificate in Financial Planning at Swinburne Online is designed to meet the FASEA bridging course requirements for existing financial advisers – approval is pending.";https://sl.prtl.co/track/click/?target=https%3A%2F%2Fwww.swinburneonline-studyportals.com%2Fprograms%2Fbusiness%2Fgraduate-certificate-financial-planning%2F&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyODkyMTIiLCJkIjoiRmluYW5jaWFsIFBsYW5uaW5nIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjdlOTI1NDRjLTVhZjktNGE5OS1iNTQ0LWQ3NTNjODFmYmIzMSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNDQ3NjYiLCJkIjoiaHR0cHM6Ly93d3cuc3dpbmJ1cm5lb25saW5lLXN0dWR5cG9ydGFscy5jb20vcHJvZ3JhbXMvYnVzaW5lc3MvZ3JhZHVhdGUtY2VydGlmaWNhdGUtZmluYW5jaWFsLXBsYW5uaW5nLyIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJwIn19XX0%3D&taps=null&duid=43843773-1667-4106-80eb-5b330e34bfb1&sid=60b71353-5c44-49b8-a8b1-17e0c5d1fef3
632;.;Manhattan;Columbia University;Sustainable Finance;7;1.793,00 €;credit ;;;Finance, Sustainable Development;08/09/2021;15/05/2021;113;Master;On Campus;½ year;100;7;.;.;English;12 alternative credits;https://www.mastersportal.com/studies/293528/;The Certification in Sustainable Finance from Columbia University prepares students to meet the growing demand for professionals who understand and can integrate the fundamentals of both corporate sustainability and financial analysis.;.
644;.;Manhattan;Columbia University;Financial Engineering;7;1.708,00 €;credit ;;;Finance, Computer Sciences;08/09/2022;05/01/2022;348;M.Sc.;On Campus;1 year;100;7;.;   Required   ;English;30 alternative credits;https://www.mastersportal.com/studies/62962/;Financial Engineering offered by Columbia University is a multidisciplinary field involving financial theory, engineering methods, mathematical tools, and programming. At Columbia, the FE Program provides full-time training in the application of engineering methodologies and quantitative methods in finance.;.
16;Switzerland;Genève;EU Business School;Global Banking and Finance ;;34.408,00 €;year;;;Finance, International Business, Master in Business Administration (MBA);05/10/2021;;;M.B.A.;On Campus;1 year;89;6,5;   Required   ;   Required   ;English;90 ECTS;https://www.mastersportal.com/studies/291612/;The MBA in Global Banking and Finance from EU Business School in Geneva covers a diverse range of areas in the finance industry, from the organization, operation and challenges of the economy at large, to issues of fiscal management in firms and financial institutions.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgeneva.euruni.edu%2Fprograms%2Fmba-geneva%2Fmba-finance%3Forigen%3D11%26utm_mode%3D11%26utm_source%3DStudyPortals%26utm_medium%3Dprofile%26utm_campaign%3Dgva-allp-br-11&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTE2MTIiLCJkIjoiR2xvYmFsIEJhbmtpbmcgYW5kIEZpbmFuY2UiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiN2U5MjU0NGMtNWFmOS00YTk5LWI1NDQtZDc1M2M4MWZiYjMxIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE0NzIwMSIsImQiOiJodHRwczovL2dlbmV2YS5ldXJ1bmkuZWR1L3Byb2dyYW1zL21iYS1nZW5ldmEvbWJhLWZpbmFuY2U%2Fb3JpZ2VuPTExJnV0bV9tb2RlPTExJnV0bV9zb3VyY2U9U3R1ZHlQb3J0YWxzJnV0bV9tZWRpdW09cHJvZmlsZSZ1dG1fY2FtcGFpZ249Z3ZhLWFsbHAtYnItMTEiLCJsIjoicmV2ZW51ZSIsImV4Ijp7InB0Ijoic3AifX1dfQ%3D%3D&taps=null&duid=43843773-1667-4106-80eb-5b330e34bfb1&sid=60b71353-5c44-49b8-a8b1-17e0c5d1fef3
1495;.;Manhattan;Columbia University;Quantitative Studies for Finance;7;1.752,00 €;credit ;;;Finance, Statistics;08/09/2021;01/06/2021;130;Master;On Campus;8 months;100;7;.;.;English;24 alternative credits;https://www.mastersportal.com/studies/293526/;The future of finance will require a strong background in mathematics and statistics to understand the algorithms and investment concepts that dominate this field. A certificate in Quantitative Studies for Finance from Columbia University helps prepare students for both career advancement and graduate study.;.
1531;.;Manhattan;Columbia University;Financial Economics;7;50.271,00 €;year ;;;Economics, Finance;08/09/2022;07/01/2022;350;M.Sc.;On Campus;2 years;100;7;   Required   ;   Required   ;English;30 alternative credits;https://www.mastersportal.com/studies/62377/;The Master of Science in Financial Economics offered by Columbia University is a two-year STEM eligible master’s degree program offered by the Finance Division of Columbia Business School.;.
19;.;London;FutureLearn;Data Analytics for Business with Tableau Training Microcredential ;;585;full ;;;Finance, Data Science & Big Data;18/01/2022;;;Pre-Master;Online;3 months;;;.;.;English;15 alternative credits;https://www.mastersportal.com/studies/306341/;Get professional quantitative data analytics training and fast track your career in a leading industry with high job growth with this Data Analytics for Business with Tableau Training Microcredential at FutureLearn in collaboration with Tableau.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fclick.linksynergy.com%2Fdeeplink%3Fid%3DeI8rZF94Xrg%26mid%3D42801%26murl%3Dhttps%253A%252F%252Fwww.futurelearn.com%252Fmicrocredentials%252Fbusiness-data-analytics-tableau&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDYzNDEiLCJkIjoiRGF0YSBBbmFseXRpY3MgZm9yIEJ1c2luZXNzIHdpdGggVGFibGVhdSBUcmFpbmluZyBNaWNyb2NyZWRlbnRpYWwiLCJsIjoicHJlbWl1bSJ9LCJzIjpudWxsLCJ1Ijp7ImkiOiIxNzIuMzAuOC4xMjEiLCJzIjoiN2U5MjU0NGMtNWFmOS00YTk5LWI1NDQtZDc1M2M4MWZiYjMxIiwibCI6ImVuLUdCIiwiYyI6ImRlIn0sImYiOlt7ImEiOiJjbGljIiwidCI6ImxpbmsiLCJpIjoiMjE2NDA4MCIsImQiOiJodHRwczovL2NsaWNrLmxpbmtzeW5lcmd5LmNvbS9kZWVwbGluaz9pZD1lSThyWkY5NFhyZyZtaWQ9NDI4MDEmbXVybD1odHRwcyUzQSUyRiUyRnd3dy5mdXR1cmVsZWFybi5jb20lMkZtaWNyb2NyZWRlbnRpYWxzJTJGYnVzaW5lc3MtZGF0YS1hbmFseXRpY3MtdGFibGVhdSIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=43843773-1667-4106-80eb-5b330e34bfb1&sid=60b71353-5c44-49b8-a8b1-17e0c5d1fef3
674;.;London;Imperial College London;Metals and Energy Finance;8;25.952,00 €;year;;;Finance, Energy & Power Engineering;28/09/2021;30/06/2021;159;M.Sc.;On Campus;1 year;92;6,5;.;.;English;90 ECTS;https://www.mastersportal.com/studies/3245/;This Metals and Energy Finance course from Imperial College London covers topics such as mineral deposit studies, petroleum geology, minerals engineering, accounting, mathematical techniques in finance, and project management.;.
943;.;London;Imperial College London;Finance;8;40.513,00 €;year;;;Economics, Finance, Financial Mathematics;04/09/2021;;;M.Sc.;On Campus;1 year;100;7;     650      ;     159  (quantitative)      ;English;90 ECTS;https://www.mastersportal.com/studies/3576/;The Finance programme from Imperial College London is a challenging programme preparing graduates for a wide range of careers in the highly competitive finance sector;.
1280;.;London;Imperial College London;Climate Change, Management and Finance;8;24.263,00 €;year;;;Finance, Management, Organisation & Leadership, Climate Studies & Meteorology;07/09/2021;;;M.Sc.;On Campus;1 year;100;7;     650      ;.;English;90 ECTS;https://www.mastersportal.com/studies/129141/;This one-year MSc Climate Change, Management and Finance programme at Imperial College London gives graduates the interdisciplinary skills required to tackle business issues relating to climate change and sustainability.;.
1304;.;London;Imperial College London;Investment and Wealth Management;8;40.508,00 €;year;;;Finance, Management, Organisation & Leadership, Strategic Management;03/09/2021;;;M.Sc.;On Campus;1 year;100;7;     650      ;     159  (quantitative)      ;English;90 ECTS;https://www.mastersportal.com/studies/45725/;The MSc Investment and Wealth Management at Imperial College London is a one-year, full-time programme designed to prepare students for careers in investment, private equity and asset management.;.
24;.;London;London School of Business and Finance;Global MBA (Financial Management) ;;6771;year;;;Business Administration, Finance, Master in Business Administration (MBA);01/04/2021;;;M.B.A.;Online;1½ years;;5,5;.;.;English;Online;https://www.mastersportal.com/studies/291417/;You will attain premier leadership and management skills through a selection of 10 specialisations, giving you the opportunity to tailor the Global MBA (Financial Management) from London School of Business and Finance to suit your professional goals. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgus.webosaurus.co.uk%2Finbound%2Fclick%3FctID%3DOTc0&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIyOTE0MTciLCJkIjoiR2xvYmFsIE1CQSAoRmluYW5jaWFsIE1hbmFnZW1lbnQpIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjUyODQ0Nzg1LWVhZDQtNGNkMi05NGM0LWY5YjgyZWRmZDllMSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjIxNDY5ODMiLCJkIjoiaHR0cHM6Ly9ndXMud2Vib3NhdXJ1cy5jby51ay9pbmJvdW5kL2NsaWNrP2N0SUQ9T1RjMCIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=982aaaa4-b710-48ac-aaee-eae695a33206&sid=ba69cbd2-dfbd-4ab8-be04-b0346c0a46f9
1335;.;London;Imperial College London;Finance and Accounting;8;40.513,00 €;year;;;Economics, Finance, Accounting;03/09/2021;;;M.Sc.;On Campus;1 year;100;7;     650      ;     159  (quantitative)      ;English;90 ECTS;https://www.mastersportal.com/studies/45724/;The MSc Finance and Accounting at Imperial College London is a one-year, full-time programme accredited by both ACCA and CIMA, designed to prepare students for careers in financial or professional services.;.
26;.;Coventry;Arden University Online;Master of Business Administration (Finance) ;;7976;year ;;;Business Administration, Finance, Master in Business Administration (MBA);30/04/2021;;;M.B.A.;Online;1 year;;6,5;.;.;English;Online;https://www.mastersportal.com/studies/37852/;Designed for practising managers looking to take the step upwards to a strategic role, this online Master of Business Administration (Finance) programme from Arden University Online provides a distinctive way of developing your achievements and thinking.;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fgus.webosaurus.co.uk%2Finbound%2Fclick%3FctID%3DMjgz&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzNzg1MiIsImQiOiJNYXN0ZXIgb2YgQnVzaW5lc3MgQWRtaW5pc3RyYXRpb24gKEZpbmFuY2UpIiwibCI6InByZW1pdW0ifSwicyI6bnVsbCwidSI6eyJpIjoiMTcyLjMwLjguMTIxIiwicyI6IjUyODQ0Nzg1LWVhZDQtNGNkMi05NGM0LWY5YjgyZWRmZDllMSIsImwiOiJlbi1HQiIsImMiOiJkZSJ9LCJmIjpbeyJhIjoiY2xpYyIsInQiOiJsaW5rIiwiaSI6IjE5NzczMjgiLCJkIjoiaHR0cHM6Ly9ndXMud2Vib3NhdXJ1cy5jby51ay9pbmJvdW5kL2NsaWNrP2N0SUQ9TWpneiIsImwiOiJyZXZlbnVlIiwiZXgiOnsicHQiOiJzcCJ9fV19&taps=null&duid=982aaaa4-b710-48ac-aaee-eae695a33206&sid=ba69cbd2-dfbd-4ab8-be04-b0346c0a46f9
1424;.;London;Imperial College London;Risk Management and Financial Engineering;8;40.508,00 €;year;;;Finance, Risk Management, General Engineering & Technology;04/09/2021;;;M.Sc.;On Campus;1 year;100;7;     650      ;     159  (quantitative)      ;English;90 ECTS;https://www.mastersportal.com/studies/3578/;The MSc Risk Management and Financial Engineering programme at Imperial College London is a highly technical one-year programme, designed to prepare recent graduates for careers in financial engineering and risk management.;.
916;.;London;University College London (UCL);Infrastructure Investment and Finance;10;20.482,00 €;year;;;Civil Engineering & Construction, Business Administration, Finance;28/09/2021;28/08/2021;218;M.Sc.;On Campus;1 year;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/287671/;The MSc in Infrastructure Investment and Finance from University College London (UCL) is designed to enable infrastructure specialists to develop the skills essential to the delivery of complex infrastructure projects.;.
1020;.;London;University College London (UCL);Banking and Digital Finance;10;33.020,00 €;year;;;Finance, Business Intelligence & Analytics, Computer Sciences;28/09/2021;28/08/2021;218;M.Sc.;On Campus;1 year;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/287317/;The Banking and Digital Finance programme offered at the University College London (UCL) will focus on major practical and theoretical applications in banking and the most innovative aspects of digital banking. ;.
1247;.;London;University College London (UCL);Finance;10;34.302,00 €;year;;;Finance, Financial Mathematics;28/09/2021;28/08/2021;218;M.Sc.;On Campus;1 year;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/293922/;The Finance MSc from University College London (UCL) covers the key aspects of finance underpinning effective functioning within the financial sector. ;.
1761;.;London;University College London (UCL);Computational Finance;10;23.710,00 €;year ;;;Electrical Engineering, Finance, Statistics;28/09/2021;28/08/2021;218;M.Sc.;On Campus;1 year;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/287590/;With the Computational Finance programme offered at the University College London (UCL), students develop an advanced knowledge of computational methods in finance, which is a prerequisite for a successful career in the financial industry within 'quant' teams. ;.
1783;.;London;University College London (UCL);Financial Risk Management;10;23.710,00 €;year;;;Finance, Financial Mathematics, Risk Management;28/09/2021;28/08/2021;218;M.Sc.;On Campus;1 year;100;7;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/293941/;This Financial Risk Management programme from University College London (UCL), which has been designed in conjunction with leading risk professionals, aims to meet the growing demand for professionals who are highly skilled in quantitative risk management.;.
1985;.;London;University College London (UCL);Engineering with Finance;10;15.393,00 €;year;;;Finance, General Engineering & Technology;28/09/2021;28/08/2021;218;M.Sc.;On Campus;1 year;92;6,5;.;.;English;180 alternative credits;https://www.mastersportal.com/studies/293882/;This Engineering with Finance programme from University College London (UCL) builds on the success of our undergraduate Engineering (Mechanical with Business Finance) programme.;.
216;Singapore;Singapore;National University of Singapore;Finance ;11;24.704,00 €;year ;;;Economics, Finance, Financial Mathematics;01/08/2021;15/04/2021;83;M.Sc.;On Campus;1½ years;100;7;.;.;English;50 alternative credits;https://www.mastersportal.com/studies/300687/;The Master of Science in Finance programme at the National University of Singapore is designed to groom recent graduates to address the substantial changes in the regulatory and institutional environments faced by the finance sector today. ;https://sl.prtl.co/track/click/?target=https%3A%2F%2Fmscfin.nus.edu.sg%2Fcontact-us-studyportals%2F%3Futm_source%3Dstudyportals%26utm_medium%3Dweb%26utm_campaign%3Dstudyportals0920&facts=eyJsIjp7InQiOiJzdHVkeSIsImkiOiIzMDA2ODciLCJkIjoiRmluYW5jZSIsImwiOiJwcmVtaXVtIn0sInMiOm51bGwsInUiOnsiaSI6IjE3Mi4zMC44LjEyMSIsInMiOiIyYmI4MWMxZi1lOThlLTRhZTktODI1MC0wOTQxYTRlNTMzZWUiLCJsIjoiZW4tR0IiLCJjIjoiZGUifSwiZiI6W3siYSI6ImNsaWMiLCJ0IjoibGluayIsImkiOiIyMTU3NTkwIiwiZCI6Imh0dHBzOi8vbXNjZmluLm51cy5lZHUuc2cvY29udGFjdC11cy1zdHVkeXBvcnRhbHMvP3V0bV9zb3VyY2U9c3R1ZHlwb3J0YWxzJnV0bV9tZWRpdW09d2ViJnV0bV9jYW1wYWlnbj1zdHVkeXBvcnRhbHMwOTIwIiwibCI6InJldmVudWUiLCJleCI6eyJwdCI6InAifX1dfQ%3D%3D&taps=null&duid=2d88374b-ff2a-4e2c-b026-90006a841ad7&sid=06b83060-cd92-42a1-95f9-02fe92cded41
1111;Singapore;Singapore;National University of Singapore;Quantitative Finance;11;22.915,00 €;year ;;;Finance, Financial Mathematics;23/08/2021;;;M.Sc.;On Campus;1 year;85;6;.;.;English;On Campus;https://www.mastersportal.com/studies/306220/;Quantitative Finance at National University of Singapore  is a postgraduate programme offered by the Department of Mathematics with the cooperation of the Department of Economics and the Department of Statistics and Applied Probability.;.
